Sample in Buffer,Sample in Window,TRIGGER,m_axi_awvalid_0,m_axi_awready[0:0],m_axi_awaddr_o[0][31:0],m_axi_awprot_o[0][2:0],m_axi_wvalid_0,m_axi_wready_1[0:0],m_axi_wdata_o[0][31:0],m_axi_wstrb_o[0][3:0],m_axi_bvalid_1[0:0],m_axi_bready_0,m_axi_arvalid_0,m_axi_arready_1[0:0],m_axi_araddr_o[0][31:0],m_axi_arprot_o[0][2:0],m_axi_rvalid_1[0:0],m_axi_rready_0,m_axi_rdata_o[0][31:0],m_axi_awvalid_1,m_axi_awready_1[1:1],m_axi_awaddr_o[1][31:0],m_axi_awprot_o[1][2:0],m_axi_wvalid_1,m_axi_wready[1:1],m_axi_wdata_o[1][31:0],m_axi_wstrb_o[1][3:0],m_axi_bvalid[1:1],m_axi_bready_1,m_axi_arvalid_1,m_axi_arready[1:1],m_axi_araddr_o[1][31:0],m_axi_arprot_o[1][2:0],m_axi_rvalid[1:1],m_axi_rready_1,m_axi_rdata_o[1][31:0],RST_IBUF,GPIO_PinIn[31:0],GPIO_PinOut[31:0],GPIO_Rx[31:0],GPIO_Tx[31:0],GPIO_Strength[31:0],GPIO_Pulldown[31:0],GPIO_Pullup[31:0],PROGADDR_IRQ[31:0]
76,76,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
77,77,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
78,78,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
79,79,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
80,80,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
81,81,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
82,82,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
83,83,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
84,84,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
85,85,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
86,86,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
87,87,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
88,88,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
89,89,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
